,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
0,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.49,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
1,e2e4,d1b3,r4rk1/pp4pp/2p1q3/3n1p2/8/3P2P1/PP2PPBP/2RQ1RK1 w - - 0 16,0.3999999999999999,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
2,f1e1,d1a4,r4rk1/pp4pp/2p1qn2/8/4P3/6P1/PP3PBP/2RQ1RK1 w - - 1 18,0.5299999999999998,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
3,f2f4,e4e5,r4r1k/pp4pp/2p1qn2/8/4P3/6P1/PP3PBP/2RQR1K1 w - - 3 19,1.35,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
4,b2b3,e4e5,r4r1k/pp2q1pp/2p2n2/8/4PP2/6P1/PP4BP/2RQR1K1 w - - 1 20,0.43999999999999995,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
5,e4e5,e1d1,3r1r1k/pp4pp/2p2n2/8/1q2PP2/1P4P1/P3Q1BP/2R1R1K1 w - - 3 22,0.3599999999999999,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
6,g1h1,c4c5,5r1k/pp4pp/1qp2n2/4P3/2Q2P2/1P4P1/P2r2BP/2R1R1K1 w - - 3 24,5.24,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
7,e1c1,c5c1,5r1k/pp4pp/2p5/2R1P3/5P2/1P1n2P1/P2r2BP/4R1K1 w - - 1 28,0.5700000000000003,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
8,b3b4,g2e4,7k/pp4pp/2p5/4P3/P4P2/1P1r2P1/5KBP/8 w - - 2 33,0.8199999999999998,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
9,f2e2,g2f3,6k1/pp4pp/2p5/4P3/PP3P2/3r2P1/5KBP/8 w - - 1 34,0.4500000000000002,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
10,b4b5,g2h3,6k1/pp4pp/2p5/4P3/PP1r1P2/6P1/4K1BP/8 w - - 3 35,0.33999999999999986,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
11,g2c6,e2e3,6k1/p5pp/1p6/1P2P3/3r1P2/6P1/4K1BP/8 w - - 0 37,0.99,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
12,e3d3,c6d5,8/p4kpp/1pB5/1P2P3/2r2P2/4K1P1/7P/8 w - - 4 39,11.8,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
13,g3g4,c6e4,8/p4kpp/1pB5/1Pr1P3/5P2/3K2P1/7P/8 w - - 6 40,1.0600000000000005,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
14,h2h4,c6e4,8/p3k1pp/1pB5/1Pr1P3/5PP1/3K4/7P/8 w - - 1 41,0.47000000000000064,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
15,d3d4,c6e4,8/4k1pp/1pB5/pPr1P3/5PPP/3K4/8/8 w - a6 0 42,2.6099999999999994,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
16,f4f5,c6e4,8/4k1pp/1pB5/1Pr1P3/p2K1PPP/8/8/8 w - - 0 43,1.0099999999999998,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
17,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.32,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
18,c4d5,g1f3,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.38,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
19,f3d2,d3d4,2r2rk1/1p4p1/p1nbq2p/4pp2/8/P2P1NP1/1P2PPBP/2RQ1RK1 w - - 0 16,1.4,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
20,d2c4,g2c6,2r2r1k/1p4p1/p1nbq2p/4pp2/8/P2P2P1/1P1NPPBP/2RQ1RK1 w - - 2 17,1.05,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
21,c4d6,e2e3,3r3k/1pr1q1p1/p1nb3p/3Bpp2/2N5/P2P2P1/1P2PP1P/2RQ1RK1 w - - 10 21,0.8699999999999999,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
22,d1d2,c1c6,3r3k/1p4p1/p1rq3p/4pp2/8/P2P2P1/1P2PP1P/2RQ1RK1 w - - 0 23,0.47,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
23,c1c3,c1c6,6k1/1p4p1/p1rq3p/4pp2/8/P2P2P1/1P1QPP1P/2R3K1 w - - 2 26,0.5099999999999998,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
24,h2h3,g3g4,8/6p1/p1p4p/3kpp2/8/P2P1KP1/1P2PP1P/8 w - - 4 32,2.83,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
25,e2e4,f3e3,8/8/p1p4p/3kppp1/8/P2P1KPP/1P2PP2/8 w - - 0 33,3.61,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
26,a3a4,f3g4,8/8/p6p/2p1p3/3kP2P/P4K2/1P3P2/8 w - - 0 37,5.09,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
27,b2b3,e2e1,8/8/p7/2p1p2p/P3k2P/8/1P2KP2/8 w - - 0 39,0.4299999999999997,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
28,c5b4,a4a5,8/8/8/2K4p/Pp6/6k1/8/8 w - - 0 48,5.47,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
29,a4a5,a4a5,8/8/8/8/PK5p/6k1/8/8 w - - 0 49,1.4200000000000008,w,61121543-6872-11ef-a6d9-6cfe544c0428,resigned,600
30,d1b3,d2d4,rnbqk2r/ppp1npbp/6p1/3p4/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 7,0.74,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
31,f1b1,f3h4,6k1/pr2qpb1/1n4pp/8/3P4/1Q2PNP1/P4PBP/5RK1 w - - 1 22,1.2599999999999998,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
32,a5b6,d4c5,8/p1q2pk1/1n4pp/P1b5/3P4/1Q2P1P1/5PBP/6K1 w - - 0 30,3.9,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
33,d5g2,d5f7,8/2q2pk1/1b4p1/p2B3p/3P3P/1Q2P1P1/5P2/6K1 w - - 0 33,1.33,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
34,b5d3,b5c4,8/6k1/1b3pp1/1B5p/1p1P3P/4P1P1/5P2/6K1 w - - 0 37,0.75,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
35,g1g2,d3g6,5k2/8/1b3pp1/7p/1p1P3P/3BP1P1/5P2/6K1 w - - 2 38,3.86,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
36,d4d5,d3c4,3b4/5k2/5p2/5K1p/3P3P/1p1BP3/5P2/8 w - - 0 43,2.06,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
37,e3e4,f5e6,3b4/6k1/5p2/3P1K1p/7P/3BPP2/1p6/8 w - - 1 45,1.75,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
38,f4e5,f4e5,8/2b5/7k/3PpK1p/5P1P/3B4/1p6/8 w - - 0 48,6.619999999999999,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
39,e5e6,f5e6,3b4/8/7k/3PPK1p/7P/3B4/1p6/8 w - - 1 49,2.119999999999999,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
40,e6e7,f5e5,8/6k1/3PP3/5K1p/7b/3B4/1p6/8 w - - 1 51,7.18,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
41,f5e5,d3c4,8/4Pk2/3P4/5K1p/7b/3B4/1p6/8 w - - 1 52,0.36,w,5eb322bf-6a0a-11ef-a6d9-6cfe544c0428,insufficient,600
42,e7e4,e7e4,r2k1r2/pp2q3/3p4/2pP4/4P3/8/PP2K1P1/R6Q b - - 0 26,10.79,b,75c62d28-6a29-11ef-a6d9-6cfe544c0428,win,600
