,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
28,g1h1,c2a2,3r2k1/6p1/Pp5p/2b2p2/4p2P/6P1/2R1PPB1/6K1 w - - 0 31,2.07,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
29,h1g1,g2h3,6k1/r5p1/Pp5p/2b2p2/4p2P/6P1/R3PPB1/7K w - - 4 33,0.4099999999999999,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
30,a2a5,g2h3,6k1/r5p1/P6p/1pb2p2/4p2P/6P1/R3PPB1/6K1 w - - 0 34,0.5000000000000002,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
31,a5b5,e2e3,5bk1/r5p1/P6p/Rp3p2/4p2P/6P1/4PPB1/6K1 w - - 2 35,0.6599999999999999,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
32,g2f1,f5e5,5bk1/6p1/7p/5R2/r3p2P/6P1/4PPB1/6K1 w - - 1 37,2.5199999999999996,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
33,f5f6,f5e5,5bk1/8/6pp/5R2/r3p2P/6P1/4PP2/5BK1 w - - 0 38,0.6700000000000002,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
34,f6f4,f6e6,5b2/6k1/5Rpp/8/r3p2P/6P1/4PP2/5BK1 w - - 2 39,1.7,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
35,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.39,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
36,d1b3,h2h3,r2q1rk1/1pp2pp1/p1np1n1p/2b1pb2/2P5/2NP2P1/PP1BPPBP/R2QNRK1 w - - 2 10,0.48,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
37,b3c2,b3d1,r2q1rk1/1pp2pp1/p2p1n1p/n1b1pb2/2P5/1QNP2P1/PP1BPPBP/R3NRK1 w - - 4 11,0.9500000000000001,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
38,c3d5,e2e3,r2q1rk1/1pp2pp1/p1np1n1p/2b1pb2/2P5/2NP2P1/PPQBPPBP/R3NRK1 w - - 6 12,0.38999999999999996,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
39,g2d5,c4d5,r2q1rk1/1pp2pp1/p1np3p/2bnpb2/2P5/3P2P1/PPQBPPBP/R3NRK1 w - - 0 13,0.97,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
40,e1f3,e2e3,r2q1rk1/1ppb1pp1/p1np3p/2bBp3/2P5/3P2P1/PPQBPP1P/R3NRK1 w - - 1 14,0.38,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
41,c2c1,d5c6,1r1q1rk1/1ppb1pp1/p1np3p/2bBp3/2P5/3P1NP1/PPQBPP1P/R4RK1 w - - 3 15,0.9400000000000001,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
42,d5e4,g1h1,1r1q1rk1/1pp2p2/p2p3Q/3Bp3/2Pb2b1/3P4/PP2PP1P/R4RK1 w - - 4 22,4.37,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
43,h6g6,e2e3,1r1q2k1/1pp2r2/p2p3Q/3Bpp2/2Pb2b1/3P4/PP2PP1P/R4RK1 w - - 2 24,1.0299999999999998,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
44,d5f7,g6f7,1r1q3k/1pp2r2/p2p2Q1/3Bpp2/2Pb2b1/3P4/PP2PP1P/R4RK1 w - - 4 25,0.54,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
45,g6f6,e2e3,1r3q1k/1pp2B2/p2p2Q1/4pp2/2Pb2b1/3P4/PP2PP1P/R4RK1 w - - 1 26,1.54,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
46,f6g7,f6h4,1r5k/1pp2Bq1/p2p1Q2/4pp2/2Pb2b1/3P4/PP2PP1P/R4RK1 w - - 3 27,2.92,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
47,g2f3,a1e1,1r6/1p4k1/p1pp4/4pp2/2Pb2b1/3P4/PP2PPBP/R4RK1 w - - 4 31,1.33,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
48,a1b1,e2e3,1r6/1p6/p1pp1k2/4pp2/2Pb4/3P1B1b/PP2PP1P/R3R1K1 w - - 8 33,2.27,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
49,b1c1,f3d5,6r1/1p6/p4k2/3ppp2/8/3P1B1b/PP2Pb1P/1R1R3K w - - 0 37,6.77,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
50,f3e4,d1f1,6r1/1p6/p4k2/3p4/4p3/5B1b/PP2Pb1P/2RR3K w - - 0 39,8.14,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
51,d1g1,d1g1,6r1/1p6/p4k2/8/4p3/7b/PP2Pb1P/2RR3K w - - 0 40,1.3399999999999999,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
52,h1g1,h1g1,8/1p6/p4k2/8/4p3/7b/PP2P2P/6rK w - - 0 42,0.7200000000000006,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
53,f2e2,f2g3,8/1p6/p7/4k3/4p3/4P2b/PP3K1P/8 w - - 1 45,1.0599999999999996,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
54,h2h4,c3c2,8/1p6/p7/2k5/4p3/P1K1Pb2/1P5P/8 w - - 1 49,0.5099999999999998,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
55,b2b4,c3b3,8/8/p7/1pk5/4p2P/P1K1Pb2/1P6/8 w - - 0 50,0.3700000000000001,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
56,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.4,w,498498ee-ac28-11ee-beca-6cfe544c0428,win,600
57,b1c3,g1f3,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,0.84,w,498498ee-ac28-11ee-beca-6cfe544c0428,win,600
58,f3e5,e1g1,2rqk2r/p2n1ppp/4p3/2b5/Q7/5NP1/PP1PPP1P/R1B1K2R w KQk - 4 14,0.8900000000000001,w,498498ee-ac28-11ee-beca-6cfe544c0428,win,600
59,c1c8,a4e8,6k1/p4pp1/1q2p2p/8/Q7/1P4P1/PB1PP2P/2R2Kb1 w - - 2 24,2.01,w,498498ee-ac28-11ee-beca-6cfe544c0428,win,600
60,a4e4,a4e4,2R5/p4ppk/1q2p2p/8/Q7/1P4P1/PB1PP2P/5Kb1 w - - 4 25,0.9299999999999997,w,498498ee-ac28-11ee-beca-6cfe544c0428,win,600
61,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.41000000000000003,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
62,b1c3,c4d5,rnbqkbnr/ppp2ppp/8/3p4/2P1p3/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,2.0,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
63,d1a4,c4d5,rnbqkbnr/pp3ppp/2p5/3p4/2P1p3/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 5,2.4400000000000004,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
64,c4d5,b3b7,rn1qkb1r/pp1b1ppp/2p2n2/3p4/2P1p3/1QN3P1/PP1PPPBP/R1B1K1NR w KQkq - 4 7,1.22,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
65,e4c2,d2d4,r2qr1k1/pp1bbppp/2n5/8/4Q3/5NP1/PP1PPPBP/R1B2RK1 w - - 5 13,0.47,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
66,c2b3,c2d1,2rqr1k1/pp1bbppp/2n5/8/8/5NP1/PPQPPPBP/R1B2RK1 w - - 7 14,0.91,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
67,d2d3,d2d4,2rqr1k1/p2bbppp/1pn5/8/8/1Q3NP1/PP1PPPBP/R1B2RK1 w - - 0 15,0.7600000000000002,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
68,b3d1,b3a4,2rqr1k1/p3bppp/1pn1b3/8/8/1Q1P1NP1/PP2PPBP/R1B2RK1 w - - 1 16,0.41000000000000014,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
69,c1e3,c1d2,2rqr1k1/4bppp/1pn1b3/p7/8/3P1NP1/PP2PPBP/R1BQ1RK1 w - - 0 17,0.6399999999999999,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
70,d1d2,g2h3,2rqr1k1/4bppp/1p6/p7/8/Pb1PBNP1/1Pn1PPBP/2RQ1RK1 w - - 3 20,0.31000000000000005,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
71,f3e1,g2h3,2rqr1k1/4bppp/1p6/8/p7/Pb1PBNP1/1PnQPPBP/2R2RK1 w - - 0 21,2.9899999999999998,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
72,g1h1,g2e4,3qr1k1/5ppp/1p6/6b1/p7/Pb1PP1P1/1P2P1BP/2Q1NRK1 w - - 1 24,3.4299999999999997,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
73,c1c6,c1c3,3qr1k1/5ppp/1p6/8/p7/Pb1Pb1P1/1P2P1BP/2Q1NR1K w - - 0 25,0.43999999999999995,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
74,e2e4,g2e4,3qr1k1/5ppp/1pQ5/2b5/p7/Pb1P2P1/1P2P1BP/4NR1K w - - 2 26,0.49,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
75,f3g5,f3d2,3qr1k1/5ppp/1pQ5/8/p3P3/Pb1P1NP1/1b4BP/5R1K w - - 0 28,2.1900000000000004,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
76,g5f3,c6b5,3q1rk1/5ppp/1pQ5/6N1/p3P3/Pb1P2P1/1b4BP/5R1K w - - 2 29,0.41999999999999993,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
77,c6b6,f3d2,3q1rk1/5ppp/1pQ5/8/p3P3/bb1P1NP1/6BP/5R1K w - - 0 30,4.62,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
78,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.42000000000000004,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
79,c2c4,g1f3,rnbqkbnr/pp2pppp/8/2pp4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 0 3,0.31,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
80,b1c3,c4d5,rnbqkb1r/pp2pppp/5n2/2pp4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,0.5,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
81,d2d3,d1b3,rnbqkb1r/pp3ppp/4pn2/2pp4/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 5,0.35000000000000003,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
82,e4g2,e4c6,r1bqkb1r/pp3ppp/2n1p3/2p5/2PpB3/3P2P1/PP2PP1P/R1BQK1NR w KQkq - 1 8,0.5700000000000001,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
83,d1d2,e2e3,1rbq1rk1/pp3pp1/2nbp2p/2p5/2Pp4/P2P1NP1/1P2PPBP/R1BQ1RK1 w - - 0 12,0.5900000000000001,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
84,d2c2,b2b4,1rb2rk1/pp3pp1/2nbpq1p/2p5/2Pp4/P2P1NP1/1P1QPPBP/R1B2RK1 w - - 2 13,0.58,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
85,c1d2,f3e5,1rb2rk1/1p3pp1/p2bpq1p/2p1n3/Q1Pp4/P2P1NP1/1P2PPBP/R1B2RK1 w - - 0 15,0.75,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
86,a4a5,a4c2,1r3rk1/1p1b1pp1/p2bpq1p/2p1n3/Q1Pp4/P2P1NP1/1P1BPPBP/R4RK1 w - - 2 16,0.51,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
87,b2b4,f3e5,1r3rk1/1p3pp1/p1bbpq1p/Q1p1n3/2Pp4/P2P1NP1/1P1BPPBP/R4RK1 w - - 4 17,2.83,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
88,a3b4,g1g2,1r3rk1/1p3pp1/p2bpq1p/Q7/1pPp4/P2P1PP1/3B1P1P/R4RK1 w - - 0 20,0.7800000000000001,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
89,a5b6,c4c5,1r3rk1/1p3pp1/p2bp2p/Q7/1PPp4/3P1qP1/3B1P1P/R4RK1 w - - 0 21,0.3699999999999999,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
90,d4e3,d4f4,1r1r2k1/1p3pp1/p3p2p/8/1bPQ4/3P1qP1/3B1P1P/R4RK1 w - - 0 23,1.47,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
91,f1d1,f1b1,1r4k1/1p3pp1/p3p2p/8/1bP5/3rB1P1/5P1P/R4RK1 w - - 0 25,0.98,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
92,b3b7,e3c1,6k1/1p3pp1/p3pb1p/8/2P5/1R2B1P1/5PKP/2r5 w - - 4 31,8.81,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
93,e3c5,a8a5,R7/5pp1/4p1kp/8/p6P/4B1P1/rb3PK1/8 w - - 2 40,0.79,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
94,g4a4,g4f4,8/5pp1/4p2p/2B2k2/6RP/p5P1/1b3PK1/r7 w - - 4 43,0.8300000000000001,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
95,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.4,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
96,b1c3,c4d5,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,1.12,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
97,g1f3,c4d5,rn1qkb1r/ppp2ppp/4bn2/3pp3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 3 5,0.61,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
98,f3g5,d2d4,rn1qk2r/ppp2ppp/3bbn2/3pp3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 5 6,0.79,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
99,c3b5,c1g5,q3r1k1/p1pn2pp/3bpn2/8/2Q1p3/2N3P1/PP2PP1P/R1B2RK1 w - - 2 14,0.45999999999999996,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
100,h2g3,f2g3,q3r1k1/p1pn2pp/4pn2/1N6/2Q1p3/6b1/PP2PP1P/R1B2RK1 w - - 0 15,0.4499999999999993,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
101,e4e5,e4f3,4q1k1/p5pp/4p3/2n4n/4Q3/6P1/PP2PP2/R1B2RK1 w - - 1 19,0.4300000000000006,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
102,b3b2,b3b2,8/5pkp/6p1/3p4/1R6/1p3PKP/6P1/1r6 b - - 1 40,0.3700000000000001,b,ebc400a9-ac31-11ee-beca-6cfe544c0428,win,600
103,f6g7,f6g7,8/5p1p/1R3kp1/3p4/5K2/5P1P/1p4P1/1r6 b - - 3 42,0.45999999999999996,b,ebc400a9-ac31-11ee-beca-6cfe544c0428,win,600
104,b2b1q,b2b1q,8/5pkp/6p1/8/5KP1/1R3P1P/1p6/2r5 b - - 2 46,0.4800000000000004,b,ebc400a9-ac31-11ee-beca-6cfe544c0428,win,600
105,c2c4,g1f3,rnbqkb1r/ppppp1pp/5n2/5p2/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 2 3,0.36000000000000004,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
106,f2f1,f2g1,rnbqk2r/pppp2pp/8/5pN1/2P1p1n1/2N3P1/PP1PPKBP/R1BQ3R w kq - 1 8,0.65,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
107,c3d5,d2d3,rnb1k2r/pppp2pp/8/5pq1/2P1p1n1/2N3P1/PP1PP1BP/R1BQ1K1R w kq - 0 9,0.75,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
108,e2e3,d2d3,rnbqk2r/pppp2pp/8/3N1p2/2P1p1n1/6P1/PP1PP1BP/R1BQ1K1R w kq - 2 10,1.42,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
109,c4d5,c1b2,rnbq1rk1/pp4pp/2p5/3p1p2/2P1pNn1/1P2P1P1/P2P2BP/R1BQ1K1R w - - 0 13,0.7,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
110,f4h5,h2h4,rnbq1rk1/pp4pp/5n2/3p1p2/4pN2/1P2P1P1/PB1P2BP/R2Q1K1R w - - 2 15,0.9699999999999998,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
111,a2a4,c6a4,r4rk1/p3q1pp/1pQ1bn2/3p1p2/4p3/1P2P1P1/PB1P2BP/R3K2R w - - 4 20,1.65,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
112,c6b5,b2a3,r1r3k1/p3q1pp/1pQ1bn2/3p1p2/P3p3/1P2P1P1/1B1P2BP/R3K2R w - - 1 21,0.31999999999999984,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
113,b2c3,b2d4,r5k1/p3q1pp/1p2bn2/1Q1p1p2/P3p3/1P2P1P1/1BrP2BP/R3K2R w - - 3 22,0.7400000000000002,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
114,b5a6,c3d4,2r3k1/p3q1pp/1p2bn2/1Q1p1p2/P3p3/1PB1P1P1/2rP2BP/R3K2R w - - 5 23,2.6399999999999997,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
115,a7b8,c1c2,6k1/Q5pp/1p2b3/3p1p2/P3p1n1/6P1/2r1q1BP/2R2R1K w - - 4 31,1.7799999999999998,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
116,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.44,w,49c9c5b4-ac38-11ee-beca-6cfe544c0428,resigned,600
117,b1c3,c4d5,rnbqkbnr/pp3ppp/2p5/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.66,w,49c9c5b4-ac38-11ee-beca-6cfe544c0428,resigned,600
118,b1d2,e2e3,r2qk2r/pp1n1ppp/2pb1n2/4pb2/2Pp4/3P1NP1/PP2PPBP/RNBQ1RK1 w kq - 5 9,0.69,w,49c9c5b4-ac38-11ee-beca-6cfe544c0428,resigned,600
119,c1g5,e4f6,r4rk1/ppq1bppp/2p2n2/4pb2/2PpN3/1P1P2P1/P3PPBP/R1BQ1RK1 w - - 1 14,0.7999999999999998,w,49c9c5b4-ac38-11ee-beca-6cfe544c0428,resigned,600
