,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
0,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.45999999999999996,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
1,e2e4,d1b3,r4rk1/pp4pp/2p1q3/3n1p2/8/3P2P1/PP2PPBP/2RQ1RK1 w - - 0 16,0.44999999999999973,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
2,f1e1,d1a4,r4rk1/pp4pp/2p1qn2/8/4P3/6P1/PP3PBP/2RQ1RK1 w - - 1 18,0.3200000000000003,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
3,f2f4,e4e5,r4r1k/pp4pp/2p1qn2/8/4P3/6P1/PP3PBP/2RQR1K1 w - - 3 19,1.2900000000000003,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
4,b2b3,e4e5,r4r1k/pp2q1pp/2p2n2/8/4PP2/6P1/PP4BP/2RQR1K1 w - - 1 20,0.43999999999999995,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
5,e4e5,c1d1,3r1r1k/pp4pp/2p2n2/8/1q2PP2/1P4P1/P3Q1BP/2R1R1K1 w - - 3 22,0.41000000000000014,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
6,g1h1,c4c5,5r1k/pp4pp/1qp2n2/4P3/2Q2P2/1P4P1/P2r2BP/2R1R1K1 w - - 3 24,5.26,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
7,e1c1,c5c1,5r1k/pp4pp/2p5/2R1P3/5P2/1P1n2P1/P2r2BP/4R1K1 w - - 1 28,0.8900000000000001,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
8,a2a4,g2f1,3r3k/pp4pp/2p5/4P3/5P2/1P4P1/P2r2BP/2R3K1 w - - 1 30,0.48999999999999977,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
9,b3b4,g2h3,7k/pp4pp/2p5/4P3/P4P2/1P1r2P1/5KBP/8 w - - 2 33,0.7200000000000002,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
10,f2e2,a4a5,6k1/pp4pp/2p5/4P3/PP3P2/3r2P1/5KBP/8 w - - 1 34,0.3799999999999999,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
11,g2c6,g2f1,6k1/p5pp/1p6/1P2P3/3r1P2/6P1/4K1BP/8 w - - 0 37,1.25,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
